[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBufferProperties' as '809583448'
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:466 [0x7fcfcb16ee00]CSpxAudioStreamSession::SetFormat: format != nullptr
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3581 [0x7fcfcb16ee00]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 4/1 => 4/2
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:471 [0x7fcfcb16ee00]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxReadWriteRingBuffer' as '956428994'
[111195]: 49529ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3394 InformAdapterSetFormatStarting
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxReadWriteRingBuffer' as '956428994'
[121664]: 49529ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1119 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD stopped ***
[111195]: 49529ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[218779]: 49529ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5475870Z, size:3200.
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 3200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[102358]: 49529ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x0x7fcfcafee558
[102358]: 49529ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=CSpxAsyncOp<void>, h=0x0x7fcfcafee558, p=0x0x7fcfcafee558, tot=0
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[218779]: 49529ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5477130Z, size:3200.
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 6400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[218779]: 49529ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5477870Z, size:3200.
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 9600, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[218779]: 49529ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5478510Z, size:3200.
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 12800, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[218779]: 49529ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5479390Z, size:3200.
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 16000, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[218779]: 49529ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[111195]: 49529ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter_retry.cpp:19 InitDelegatePtr
[218779]: 49530ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5480050Z, size:3200.
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 19200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[111195]: 49530ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:50 CSpxUspRecoEngineAdapter: this=0x0x7fcfbaff75b0
[218779]: 49530ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5481020Z, size:3200.
[111195]: 49530ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspRecoEngineAdapter' as '806006714'
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[111195]: 49530ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:63 Init
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 22400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:64 Init: this=0x0x7fcfbaff75b0
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfbaff7608; name='CARBON-INTERNAL-DumpAudioToDir'; value=''
[111195]: 49530ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:63 Init
[111195]: 49530ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter_retry.cpp:19 InitDelegatePtr
[218779]: 49530ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5482610Z, size:3200.
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:115 SetAdapterMode: singleShot=0
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 25600, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[111195]: 49530ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:224 SetFormat
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:225 SetFormat: this=0x0x7fcfbaff75b0
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[218779]: 49530ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5483810Z, size:3200.
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:236 SetFormat
  wFormatTag:      PCM
  nChannels:       1
  nSamplesPerSec:  16000
  nAvgBytesPerSec: 32000
  nBlockAlign:     2
  wBitsPerSample:  16
  cbSize:          0
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 28800, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3008 TryChangeState; audioState/uspState: 0/0 => 1/0 USP-START
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:258 SetFormat: (0x0x7fcfbaff75b0)->PrepareFirstAudioReadyState()
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3175 ResetBeforeFirstAudio: this=0x0x7fcfbaff75b0 ... USP-RESET
[218779]: 49530ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5484910Z, size:3200.
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3024 PrepareCompressionCodec: Prepare compression codec.
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfbaff7608; name='SPEECH-Compression-Codec-Module'; value=''
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 32000, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3086 PrepareFirstAudioReadyState: (0x0x7fcfbaff75b0)->PrepareCompressionCodec() result:        4. Sending the audio uncompressed
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfbaff7608; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='Python'
[218779]: 49530ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5486000Z, size:3200.
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x007fcfcb16ee90; name='HttpHeader#User-agent'; value='SpeechSDK-Python/1.34.0 Darwin Darwin 23.6.0'
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 35200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:351 UspInitialize: this=0x0x7fcfbaff75b0
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspCallbackWrapper' as '710381509'
[218779]: 49530ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5487000Z, size:3200.
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfbaff7608; name='SessionId'; value='06eb4092c33a4aa18e00c4fb9f78e312'
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1874 GetScenarioCount: countSpeech=1; countIntent=0; countTranslation=0; countDialog=0, countConversationTranscriber=0, countConversationTranscriberV2=0, countMeetingTranscriber=0, countLanguageId=0
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 38400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:778 SetUspEndpointDefaultSpeechService: Endpoint type: Speech.
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfbaff7608; name='SPEECH-Region'; value='francecentral'
[218779]: 49530ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5488280Z, size:3200.
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfbaff7608; name='SPEECH-RecoLanguage'; value='en-US'
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[111195]: 49530ms SPX_TRACE_INFO:  usp_reco_engine_adapter.cpp:1103 SpeechServiceConnection_LanguageIdMode not set or has invalid value .
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:165 [0x7fcf5b6093b0] m_bytesTransited = 41600, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:641 SetUspLanguageIdModeAndPriority: languageIdMode=0, languageIdPriority=0
[218779]: 49530ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:446 [0x7fcf6afe7480]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[111195]: 49530ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x007fcfbaff7608; name='SPEECH-RecoMode'; value='DICTATION'
[218779]: 49530ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:537 Received audio chunk: time: 2024-12-28T11:11:36.5489690Z, size:3200.
[218779]: 49531ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:551 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
